208;208;DROGAS SIGLO XXI NEMOCON E B S;CUNDINAMARCA;CL 2 2 50;;NEMOCÓN;CL 2 2 50
209;209;EXITO PANAMERICANA PASTO;NARIÑO;CL 2 22 B 96;;PASTO;CL 2 22 B 96
210;210;DROGAS LEAL PL;CUNDINAMARCA;CL 2 3 07;;CAJICÁ;CL 2 3 07
211;211;DROGUERIA HOSPITALARIA;VALLE DEL CAUCA;CL 2 3 A 64;;CARTAGO;CL 2 3 A 64
212;212;DROGUERIZ CAFAM CAQUEZA;CUNDINAMARCA;CL 2 4 11;;CÁQUEZA;CL 2 4 11
213;213;LA BOTICA DE PUERTO COLOMBIA;ATLANTICO;CL 2 5 28;;PUERTO COLOMBIA (ATLAN);CL 2 5 28
214;214;MEGAMAS PUERTO COLOMBIA;ATLANTICO;CL 2 5 71;;PUERTO COLOMBIA (ATLAN);CL 2 5 71
215;215;DROGUERIA MERK SALUD;BOGOTA;CL 2 53 D 74;;BOGOTÁ D.C.;CL 2 53 D 74
216;216;EXITO BUENAVENTURA;VALLE DEL CAUCA;CL 2 66 86 KM 1 CT CABAL POMBO CE SHOPING;;BUENAVENTURA;CL 2 66 86 KM 1 CT CABAL POMBO CE SHOPING
217;217;DROGAS SUPER DEPOSITO;BOGOTA;CL 2 7 02 PQ LAS KRUCES;;BOGOTÁ D.C.;CL 2 7 02 PQ LAS KRUCES
218;218;COPITEC;LA GUAJIRA;CL 2 7 06;;RIOHACHA;CL 2 7 06
